Country,Rank,Account,Title,Link,Subscribers count,Views avg.,Likes avg.,Comments avg.,Shares avg.,Scraped
All,-1.559798073460161,kimandnorth,Kim and North,https://www.tiktok.com/@kimandnorth,-0.12408821353615165,1.91586545665823,1.6457987460007732,-0.5870416643987991,-0.01240418083677776,2022-02-07 16:54:35.641971
All,-1.5563357025978743,kimandnorth,Kim and North,https://www.tiktok.com/@kimandnorth,-0.12408821353615165,1.91586545665823,1.6457987460007732,-0.5870416643987991,-0.01240418083677776,2022-02-07 16:54:35.641971
All,-1.5528733317355876,druskitv,DRUSKI,https://www.tiktok.com/@druskitv,-0.37241729861416334,0.23399944464420508,0.5929268343466064,0.5718343779155316,0.12587840978724185,2022-02-07 16:54:35.641971
All,-1.5494109608733009,nicolebernaal,nicolebernaal,https://www.tiktok.com/@nicolebernaal,-0.33562780452853197,1.0642877290561923,0.6312626860323644,1.93673282775241,-0.05591551323140462,2022-02-07 16:54:35.641971
All,-1.5459485900110144,alexisomman,Alexis Omman,https://www.tiktok.com/@alexisomman,0.17942511267030709,-0.00018443044635537174,0.4960103553657579,0.8422387877888754,0.1956157507484931,2022-02-07 16:54:35.641971
All,-1.5424862191487276,trungruoi93,Trung Ruồi,https://www.tiktok.com/@trungruoi93,-0.4735884073496496,3.5551525822921533,0.32055563341820686,-0.21362605076418145,-0.011808135187536296,2022-02-07 16:54:35.641971
All,-1.539023848286441,the_trickstars,The Trickstars,https://www.tiktok.com/@the_trickstars,-0.5011805279138731,0.10626278550389938,0.41704137249247386,0.649092780736487,0.18190670081593943,2022-02-07 16:54:35.641971
All,-1.5355614774241542,os.sksk,Osama Dawood,https://www.tiktok.com/@os.sksk,-0.35402255157134765,1.894576013468179,0.5481298840621254,0.15978956287043622,-0.00942395259057044,2022-02-07 16:54:35.641971
All,-1.5320991065618674,alexitoxedits,ALEX <3,https://www.tiktok.com/@alexitoxedits,-0.4735884073496496,-0.06405276001650823,1.5022187771402569,1.5633172141177925,0.026338786363917385,2022-02-07 16:54:35.641971
All,-1.5286367356995807,soysuco,soysuco,https://www.tiktok.com/@soysuco,0.08745137745622869,0.5320516493049184,0.7149698078780454,2.0139912305733656,-0.03982228070188509,2022-02-07 16:54:35.641971
All,-1.525174364837294,evcnoble,Everett Noble,https://www.tiktok.com/@evcnoble,0.21621460675593845,0.1914205582641032,0.784318932837675,0.1082839609897993,0.08773148823578815,2022-02-07 16:54:35.641971
All,-1.5217119939750074,nekoglai,Николай,https://www.tiktok.com/@nekoglai,0.1610303656274914,1.106866615436294,0.7600539181002476,0.8551151882590347,-0.03326577856022899,2022-02-07 16:54:35.641971
All,-1.5182496231127207,evlawler,Lawler,https://www.tiktok.com/@evlawler,-0.2252593222716379,0.6597883084452241,0.784318932837675,0.4044411718034616,0.008457416886673471,2022-02-07 16:54:35.641971
All,-1.514787252250434,ahw5d,Ahmed Ali,https://www.tiktok.com/@ahw5d,-0.4184041662212026,1.4474977064771093,0.2804968221061228,1.6920812188193848,-0.05955735214826996,2022-02-07 16:54:35.641971
