founded,employees,job_openings,FoundedYears,founded_binary,employees_binary,job_openings_binary
2015.0,311.0,1.0,8.0,2015.0,311.0,1.0
2012.5448798988623,68.0,1.0,,2012.5448798988623,68.0,1.0
2012.5448798988623,131.0,1.0,,2012.5448798988623,131.0,1.0
2020.0,89.0,1.0,3.0,2020.0,89.0,1.0
2017.0,740.0,1.0,6.0,2017.0,740.0,1.0
2018.0,678.0,1.0,5.0,2018.0,678.0,1.0
2012.5448798988623,63.0,1.0,,2012.5448798988623,63.0,1.0
2002.0,419.0,8.57356076759062,21.0,2002.0,419.0,8.57356076759062
2017.0,192.0,1.0,6.0,2017.0,192.0,1.0
1980.0,333.0,3.0,43.0,1980.0,333.0,3.0
2015.0,217.0,8.0,8.0,2015.0,217.0,8.0
2009.0,575.0,48.0,14.0,2009.0,575.0,48.0
2014.0,41.0,1.0,9.0,2014.0,41.0,1.0
2013.0,183.0,19.0,10.0,2013.0,183.0,19.0
2006.0,525.0,28.0,17.0,2006.0,525.0,28.0
2011.0,497.0,1.0,12.0,2011.0,497.0,1.0
2011.0,497.0,1.0,12.0,2011.0,497.0,1.0
2017.0,694.0,1.0,6.0,2017.0,694.0,1.0
2020.0,393.0,1.0,3.0,2020.0,393.0,1.0
2012.5448798988623,375.0,8.57356076759062,,2012.5448798988623,375.0,8.57356076759062
2012.5448798988623,375.0,8.57356076759062,,2012.5448798988623,375.0,8.57356076759062
2012.5448798988623,118.0,1.0,,2012.5448798988623,118.0,1.0
2018.0,153.0,1.0,5.0,2018.0,153.0,1.0
2012.5448798988623,643.0,8.57356076759062,,2012.5448798988623,643.0,8.57356076759062
2014.0,238.0,7.0,9.0,2014.0,238.0,7.0
2008.0,717.0,1.0,15.0,2008.0,717.0,1.0
2012.5448798988623,170.0,1.0,,2012.5448798988623,170.0,1.0
2015.0,573.0,1.0,8.0,2015.0,573.0,1.0
2012.5448798988623,699.0,57.0,,2012.5448798988623,699.0,57.0
2016.0,486.0,1.0,7.0,2016.0,486.0,1.0
2014.0,225.0,24.0,9.0,2014.0,225.0,24.0
2021.0,57.0,1.0,2.0,2021.0,57.0,1.0
2010.0,610.0,26.0,13.0,2010.0,610.0,26.0
2014.0,382.0,1.0,9.0,2014.0,382.0,1.0
2012.5448798988623,76.0,1.0,,2012.5448798988623,76.0,1.0
2017.0,436.0,1.0,6.0,2017.0,436.0,1.0
2002.0,903.0,8.57356076759062,21.0,2002.0,903.0,8.57356076759062
2016.0,158.0,15.0,7.0,2016.0,158.0,15.0
2019.0,416.0,1.0,4.0,2019.0,416.0,1.0
2012.0,744.0,29.0,11.0,2012.0,744.0,29.0
2019.0,128.0,1.0,4.0,2019.0,128.0,1.0
2021.0,39.0,1.0,2.0,2021.0,39.0,1.0
2012.5448798988623,246.0,1.0,,2012.5448798988623,246.0,1.0
2012.5448798988623,421.0,1.0,,2012.5448798988623,421.0,1.0
2016.0,360.0,1.0,7.0,2016.0,360.0,1.0
2013.0,171.0,1.0,10.0,2013.0,171.0,1.0
2012.5448798988623,158.0,1.0,,2012.5448798988623,158.0,1.0
2019.0,372.0,1.0,4.0,2019.0,372.0,1.0
2018.0,495.0,43.0,5.0,2018.0,495.0,43.0
2017.0,141.0,1.0,6.0,2017.0,141.0,1.0
2016.0,545.0,1.0,7.0,2016.0,545.0,1.0
2012.5448798988623,174.0,1.0,,2012.5448798988623,174.0,1.0
2012.5448798988623,37.0,8.57356076759062,,2012.5448798988623,37.0,8.57356076759062
2016.0,234.0,1.0,7.0,2016.0,234.0,1.0
2018.0,110.0,1.0,5.0,2018.0,110.0,1.0
2012.5448798988623,56.0,1.0,,2012.5448798988623,56.0,1.0
2012.5448798988623,147.0,1.0,,2012.5448798988623,147.0,1.0
2021.0,113.0,1.0,2.0,2021.0,113.0,1.0
2018.0,262.0,1.0,5.0,2018.0,262.0,1.0
2013.0,491.0,1.0,10.0,2013.0,491.0,1.0
2012.5448798988623,127.0,1.0,,2012.5448798988623,127.0,1.0
2012.5448798988623,534.0,8.57356076759062,,2012.5448798988623,534.0,8.57356076759062
2021.0,175.0,1.0,2.0,2021.0,175.0,1.0
2019.0,653.0,1.0,4.0,2019.0,653.0,1.0
2017.0,60.0,1.0,6.0,2017.0,60.0,1.0
2019.0,227.0,1.0,4.0,2019.0,227.0,1.0
2012.5448798988623,404.0,8.57356076759062,,2012.5448798988623,404.0,8.57356076759062
2021.0,404.0,8.57356076759062,2.0,2021.0,404.0,8.57356076759062
2016.0,401.0,1.0,7.0,2016.0,401.0,1.0
2013.0,637.0,1.0,10.0,2013.0,637.0,1.0
2009.0,423.0,1.0,14.0,2009.0,423.0,1.0
2012.0,216.0,2.0,11.0,2012.0,216.0,2.0
2017.0,149.0,1.0,6.0,2017.0,149.0,1.0
2016.0,202.0,1.0,7.0,2016.0,202.0,1.0
2015.0,882.0,30.0,8.0,2015.0,882.0,30.0
2019.0,342.0,1.0,4.0,2019.0,342.0,1.0
2019.0,854.0,660.0,4.0,2019.0,854.0,660.0
2015.0,484.0,1.0,8.0,2015.0,484.0,1.0
2018.0,309.0,25.0,5.0,2018.0,309.0,25.0
2019.0,240.0,1.0,4.0,2019.0,240.0,1.0
2017.0,235.0,21.0,6.0,2017.0,235.0,21.0
2018.0,191.0,1.0,5.0,2018.0,191.0,1.0
2011.0,884.0,4.0,12.0,2011.0,884.0,4.0
2012.5448798988623,319.0,1.0,,2012.5448798988623,319.0,1.0
2015.0,619.0,8.57356076759062,8.0,2015.0,619.0,8.57356076759062
2012.0,62.0,1.0,11.0,2012.0,62.0,1.0
2012.5448798988623,126.0,1.0,,2012.5448798988623,126.0,1.0
2012.5448798988623,380.0,1.0,,2012.5448798988623,380.0,1.0
2014.0,918.0,1.0,9.0,2014.0,918.0,1.0
1982.0,119.0,1.0,41.0,1982.0,119.0,1.0
2012.5448798988623,142.0,1.0,,2012.5448798988623,142.0,1.0
2013.0,365.0,1.0,10.0,2013.0,365.0,1.0
2013.0,365.0,1.0,10.0,2013.0,365.0,1.0
2015.0,325.0,1.0,8.0,2015.0,325.0,1.0
2018.0,239.0,1.0,5.0,2018.0,239.0,1.0
2007.0,251.0,1.0,16.0,2007.0,251.0,1.0
2012.0,254.0,1.0,11.0,2012.0,254.0,1.0
2015.0,101.0,1.0,8.0,2015.0,101.0,1.0
1999.0,232.0,1.0,24.0,1999.0,232.0,1.0
2009.0,150.0,1.0,14.0,2009.0,150.0,1.0
2007.0,462.0,1.0,16.0,2007.0,462.0,1.0
2004.0,210.0,3.0,19.0,2004.0,210.0,3.0
2012.5448798988623,995.0,1.0,,2012.5448798988623,995.0,1.0
2016.0,757.0,1.0,7.0,2016.0,757.0,1.0
2017.0,213.0,1.0,6.0,2017.0,213.0,1.0
2016.0,58.0,1.0,7.0,2016.0,58.0,1.0
2021.0,43.0,1.0,2.0,2021.0,43.0,1.0
